编号,标题,模块,类型,状态,草稿,创建日期,更新时间,周次,源分支,目标分支,链接
35,feat: 后台可移除已上榜成员的错误战力记录,排行榜 / OCR,功能开发,待审,否,2026-08-28,2026-08-28 16:42,2026-08-24 ~ 2026-08-30,cursor/admin-remove-leaderboard-419b,cursor/name-ocr-cyan-hud-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/35
36,feat: 盟员点 BOSS 立刻重开倒计时，并显示上次标记的人,BOSS 计时,功能开发,草稿,是,2026-08-31,2026-08-31 10:41,2026-08-31 ~ 2026-09-06,cursor/boss-click-timer-419b,cursor/auction-session-tax-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/36
37,feat: 后台截图识别批量调整 BOSS 计时,BOSS 计时,功能开发,草稿,是,2026-08-31,2026-08-31 11:26,2026-08-31 ~ 2026-09-06,cursor/boss-timer-ocr-419b,cursor/boss-click-timer-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/37
38,feat: 粉色拍品限价竞价后匿名投票，平票掷点结算,拍卖竞价,功能开发,草稿,是,2026-09-01,2026-09-01 19:40,2026-08-31 ~ 2026-09-06,cursor/pink-auction-vote-419b,cursor/boss-timer-ocr-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/38
39,fix: 恢复首页更新公告，避免后续改动再冲掉,首页 / 品牌,缺陷修复,草稿,是,2026-09-01,2026-09-01 19:50,2026-08-31 ~ 2026-09-06,cursor/restore-home-changelog-419b,cursor/pink-auction-vote-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/39
40,feat: 拍卖颜色拆成紫色、普通粉色、特殊粉色,拍卖竞价,功能开发,草稿,是,2026-09-01,2026-09-01 20:31,2026-08-31 ~ 2026-09-06,cursor/pink-ordinary-special-419b,cursor/restore-home-changelog-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/40
41,"perf: speed up auction, dividends, and admin listing loads",拍卖竞价,性能优化,草稿,是,2026-09-02,2026-09-02 16:29,2026-08-31 ~ 2026-09-06,cursor/auction-load-speed-419b,cursor/pink-ordinary-special-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/41
42,feat: restore admin leaderboard pass-line percent,排行榜 / OCR,功能开发,草稿,是,2026-09-02,2026-09-02 16:33,2026-08-31 ~ 2026-09-06,cursor/restore-leaderboard-threshold-419b,cursor/auction-load-speed-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/42
43,feat: restore admin removal of incorrect leaderboard records,排行榜 / OCR,功能开发,草稿,是,2026-09-02,2026-09-02 16:34,2026-08-31 ~ 2026-09-06,cursor/restore-leaderboard-remove-419b,cursor/restore-leaderboard-threshold-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/43
44,fix: restore cyan HUD name OCR for 飞飞 and 抖音绵羊,排行榜 / OCR,缺陷修复,草稿,是,2026-09-02,2026-09-02 22:08,2026-08-31 ~ 2026-09-06,cursor/restore-name-ocr-cyan-419b,cursor/restore-leaderboard-remove-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/44
